profile,type,state,year,price,source
solar,green,QLD,2035,6,forecast
solar,green,SA,2035,6,forecast
wind,Energy,NSW,2035,94,forecast
wind,Energy,VIC,2035,78,forecast
wind,Energy,QLD,2035,89,forecast
wind,Energy,SA,2035,82,forecast
wind,green,NSW,2035,6,forecast
wind,green,VIC,2035,6,forecast
wind,green,QLD,2035,6,forecast
wind,green,SA,2035,6,forecast
baseload,Energy,NSW,2036,111,forecast
baseload,Energy,VIC,2036,110,forecast
baseload,Energy,QLD,2036,110,forecast
baseload,Energy,SA,2036,114,forecast
solar,Energy,NSW,2036,64,forecast
solar,Energy,VIC,2036,66,forecast
solar,Energy,QLD,2036,63,forecast
solar,Energy,SA,2036,65,forecast
solar,green,NSW,2036,5,forecast
solar,green,VIC,2036,5,forecast
solar,green,QLD,2036,5,forecast
solar,green,SA,2036,5,forecast
wind,Energy,NSW,2036,102,forecast
wind,Energy,VIC,2036,85,forecast
wind,Energy,QLD,2036,100,forecast
wind,Energy,SA,2036,94,forecast
wind,green,NSW,2036,5,forecast
wind,green,VIC,2036,5,forecast
wind,green,QLD,2036,5,forecast
wind,green,SA,2036,5,forecast
baseload,Energy,NSW,2037,118,forecast
baseload,Energy,VIC,2037,113,forecast
baseload,Energy,QLD,2037,105,forecast
baseload,Energy,SA,2037,115,forecast
solar,Energy,NSW,2037,65,forecast
solar,Energy,VIC,2037,68,forecast
solar,Energy,QLD,2037,63,forecast
solar,Energy,SA,2037,70,forecast
solar,green,NSW,2037,4,forecast
solar,green,VIC,2037,4,forecast
solar,green,QLD,2037,4,forecast
solar,green,SA,2037,4,forecast
wind,Energy,NSW,2037,105,forecast
wind,Energy,VIC,2037,86,forecast
wind,Energy,QLD,2037,98,forecast
wind,Energy,SA,2037,92,forecast
wind,green,NSW,2037,4,forecast
wind,green,VIC,2037,4,forecast
wind,green,QLD,2037,4,forecast
wind,green,SA,2037,4,forecast
