profile,type,state,time,price,source
solar,Energy,VIC,1/01/2036,66,forecast
solar,Energy,QLD,1/01/2036,63,forecast
solar,Energy,SA,1/01/2036,65,forecast
solar,green,NSW,1/01/2036,5,forecast
solar,green,VIC,1/01/2036,5,forecast
solar,green,QLD,1/01/2036,5,forecast
solar,green,SA,1/01/2036,5,forecast
wind,Energy,NSW,1/01/2036,102,forecast
wind,Energy,VIC,1/01/2036,85,forecast
wind,Energy,QLD,1/01/2036,100,forecast
wind,Energy,SA,1/01/2036,94,forecast
wind,green,NSW,1/01/2036,5,forecast
wind,green,VIC,1/01/2036,5,forecast
wind,green,QLD,1/01/2036,5,forecast
wind,green,SA,1/01/2036,5,forecast
baseload,Energy,NSW,1/01/2037,118,forecast
baseload,Energy,VIC,1/01/2037,113,forecast
baseload,Energy,QLD,1/01/2037,105,forecast
baseload,Energy,SA,1/01/2037,115,forecast
solar,Energy,NSW,1/01/2037,65,forecast
solar,Energy,VIC,1/01/2037,68,forecast
solar,Energy,QLD,1/01/2037,63,forecast
solar,Energy,SA,1/01/2037,70,forecast
solar,green,NSW,1/01/2037,4,forecast
solar,green,VIC,1/01/2037,4,forecast
solar,green,QLD,1/01/2037,4,forecast
solar,green,SA,1/01/2037,4,forecast
wind,Energy,NSW,1/01/2037,105,forecast
wind,Energy,VIC,1/01/2037,86,forecast
wind,Energy,QLD,1/01/2037,98,forecast
wind,Energy,SA,1/01/2037,92,forecast
wind,green,NSW,1/01/2037,4,forecast
wind,green,VIC,1/01/2037,4,forecast
wind,green,QLD,1/01/2037,4,forecast
wind,green,SA,1/01/2037,4,forecast
baseload,Energy,NSW,1/01/2038,115,forecast
baseload,Energy,VIC,1/01/2038,110,forecast
baseload,Energy,QLD,1/01/2038,101,forecast
baseload,Energy,SA,1/01/2038,114,forecast
solar,Energy,NSW,1/01/2038,61,forecast
solar,Energy,VIC,1/01/2038,67,forecast
solar,Energy,QLD,1/01/2038,60,forecast
solar,Energy,SA,1/01/2038,66,forecast
solar,green,NSW,1/01/2038,2,forecast
solar,green,VIC,1/01/2038,1,forecast
solar,green,QLD,1/01/2038,2,forecast
solar,green,SA,1/01/2038,0,forecast
wind,Energy,NSW,1/01/2038,101,forecast
wind,Energy,VIC,1/01/2038,81,forecast
wind,Energy,QLD,1/01/2038,96,forecast
wind,Energy,SA,1/01/2038,88,forecast
wind,green,NSW,1/01/2038,3,forecast
wind,green,VIC,1/01/2038,2,forecast
wind,green,QLD,1/01/2038,0,forecast
wind,green,SA,1/01/2038,4,forecast
baseload,Energy,NSW,1/01/2039,114,forecast
baseload,Energy,VIC,1/01/2039,105,forecast
baseload,Energy,QLD,1/01/2039,101,forecast
baseload,Energy,SA,1/01/2039,114,forecast
solar,Energy,NSW,1/01/2039,60,forecast
solar,Energy,VIC,1/01/2039,67,forecast
solar,Energy,QLD,1/01/2039,57,forecast
solar,Energy,SA,1/01/2039,66,forecast
solar,green,NSW,1/01/2039,-2,forecast
solar,green,VIC,1/01/2039,-3,forecast
solar,green,QLD,1/01/2039,-1,forecast
solar,green,SA,1/01/2039,-5,forecast
wind,Energy,NSW,1/01/2039,98,forecast
wind,Energy,VIC,1/01/2039,79,forecast
wind,Energy,QLD,1/01/2039,95,forecast
wind,Energy,SA,1/01/2039,86,forecast
wind,green,NSW,1/01/2039,1,forecast
wind,green,VIC,1/01/2039,1,forecast
wind,green,QLD,1/01/2039,-1,forecast
wind,green,SA,1/01/2039,2,forecast
baseload,Energy,NSW,1/01/2040,113,forecast
baseload,Energy,VIC,1/01/2040,101,forecast
baseload,Energy,QLD,1/01/2040,98,forecast
baseload,Energy,SA,1/01/2040,114,forecast
solar,Energy,NSW,1/01/2040,59,forecast
solar,Energy,VIC,1/01/2040,64,forecast
solar,Energy,QLD,1/01/2040,54,forecast
solar,Energy,SA,1/01/2040,64,forecast
solar,green,NSW,1/01/2040,-5,forecast
solar,green,VIC,1/01/2040,-6,forecast
solar,green,QLD,1/01/2040,-6,forecast
solar,green,SA,1/01/2040,-7,forecast
wind,Energy,NSW,1/01/2040,94,forecast
wind,Energy,VIC,1/01/2040,76,forecast
wind,Energy,QLD,1/01/2040,92,forecast
wind,Energy,SA,1/01/2040,82,forecast
wind,green,NSW,1/01/2040,0,forecast
wind,green,VIC,1/01/2040,0,forecast
wind,green,QLD,1/01/2040,-6,forecast
wind,green,SA,1/01/2040,-1,forecast
baseload,Energy,NSW,1/01/2041,109,forecast
baseload,Energy,VIC,1/01/2041,98,forecast
baseload,Energy,QLD,1/01/2041,98,forecast
baseload,Energy,SA,1/01/2041,111,forecast
solar,Energy,NSW,1/01/2041,55,forecast
solar,Energy,VIC,1/01/2041,62,forecast
solar,Energy,QLD,1/01/2041,50,forecast
solar,Energy,SA,1/01/2041,62,forecast
solar,green,NSW,1/01/2041,-5,forecast
solar,green,VIC,1/01/2041,-8,forecast
solar,green,QLD,1/01/2041,-6,forecast
solar,green,SA,1/01/2041,-8,forecast
wind,Energy,NSW,1/01/2041,91,forecast
wind,Energy,VIC,1/01/2041,73,forecast
wind,Energy,QLD,1/01/2041,90,forecast
wind,Energy,SA,1/01/2041,77,forecast
wind,green,NSW,1/01/2041,-4,forecast
wind,green,VIC,1/01/2041,-3,forecast
wind,green,QLD,1/01/2041,-8,forecast
wind,green,SA,1/01/2041,-2,forecast
baseload,Energy,NSW,1/01/2042,105,forecast
baseload,Energy,VIC,1/01/2042,95,forecast
baseload,Energy,QLD,1/01/2042,97,forecast
baseload,Energy,SA,1/01/2042,109,forecast
solar,Energy,NSW,1/01/2042,51,forecast
solar,Energy,VIC,1/01/2042,58,forecast
solar,Energy,QLD,1/01/2042,48,forecast
solar,Energy,SA,1/01/2042,58,forecast
solar,green,NSW,1/01/2042,-8,forecast
solar,green,VIC,1/01/2042,-13,forecast
solar,green,QLD,1/01/2042,-9,forecast
solar,green,SA,1/01/2042,-9,forecast
wind,Energy,NSW,1/01/2042,88,forecast
wind,Energy,VIC,1/01/2042,69,forecast
wind,Energy,QLD,1/01/2042,88,forecast
wind,Energy,SA,1/01/2042,76,forecast
wind,green,NSW,1/01/2042,-8,forecast
wind,green,VIC,1/01/2042,-5,forecast
wind,green,QLD,1/01/2042,-10,forecast
wind,green,SA,1/01/2042,-7,forecast
baseload,Energy,NSW,1/01/2043,101,forecast
baseload,Energy,VIC,1/01/2043,94,forecast
baseload,Energy,QLD,1/01/2043,93,forecast
baseload,Energy,SA,1/01/2043,105,forecast
solar,Energy,NSW,1/01/2043,50,forecast
solar,Energy,VIC,1/01/2043,56,forecast
solar,Energy,QLD,1/01/2043,47,forecast
solar,Energy,SA,1/01/2043,54,forecast
solar,green,NSW,1/01/2043,-11,forecast
solar,green,VIC,1/01/2043,-15,forecast
solar,green,QLD,1/01/2043,-10,forecast
solar,green,SA,1/01/2043,-11,forecast
wind,Energy,NSW,1/01/2043,86,forecast
wind,Energy,VIC,1/01/2043,64,forecast
wind,Energy,QLD,1/01/2043,85,forecast
wind,Energy,SA,1/01/2043,75,forecast
wind,green,NSW,1/01/2043,-10,forecast
wind,green,VIC,1/01/2043,-7,forecast
wind,green,QLD,1/01/2043,-10,forecast
wind,green,SA,1/01/2043,-9,forecast
baseload,Energy,NSW,1/01/2044,100,forecast
baseload,Energy,VIC,1/01/2044,92,forecast
baseload,Energy,QLD,1/01/2044,92,forecast
baseload,Energy,SA,1/01/2044,101,forecast
solar,Energy,NSW,1/01/2044,47,forecast
solar,Energy,VIC,1/01/2044,53,forecast
solar,Energy,QLD,1/01/2044,45,forecast
solar,Energy,SA,1/01/2044,51,forecast
solar,green,NSW,1/01/2044,-11,forecast
solar,green,VIC,1/01/2044,-19,forecast
solar,green,QLD,1/01/2044,-14,forecast
solar,green,SA,1/01/2044,-12,forecast
wind,Energy,NSW,1/01/2044,85,forecast
wind,Energy,VIC,1/01/2044,64,forecast
wind,Energy,QLD,1/01/2044,84,forecast
wind,Energy,SA,1/01/2044,70,forecast
wind,green,NSW,1/01/2044,-13,forecast
wind,green,VIC,1/01/2044,-11,forecast
wind,green,QLD,1/01/2044,-12,forecast
wind,green,SA,1/01/2044,-14,forecast
baseload,Energy,NSW,1/01/2045,97,forecast
baseload,Energy,VIC,1/01/2045,87,forecast
baseload,Energy,QLD,1/01/2045,92,forecast
baseload,Energy,SA,1/01/2045,97,forecast
solar,Energy,NSW,1/01/2045,44,forecast
solar,Energy,VIC,1/01/2045,53,forecast
solar,Energy,QLD,1/01/2045,41,forecast
solar,Energy,SA,1/01/2045,50,forecast
solar,green,NSW,1/01/2045,-13,forecast
solar,green,VIC,1/01/2045,-20,forecast
solar,green,QLD,1/01/2045,-16,forecast
solar,green,SA,1/01/2045,-14,forecast
wind,Energy,NSW,1/01/2045,82,forecast
wind,Energy,VIC,1/01/2045,63,forecast
wind,Energy,QLD,1/01/2045,83,forecast
wind,Energy,SA,1/01/2045,68,forecast
wind,green,NSW,1/01/2045,-14,forecast
wind,green,VIC,1/01/2045,-13,forecast
wind,green,QLD,1/01/2045,-14,forecast
wind,green,SA,1/01/2045,-17,forecast
baseload,Energy,NSW,1/01/2046,93,forecast
baseload,Energy,VIC,1/01/2046,82,forecast
baseload,Energy,QLD,1/01/2046,88,forecast
baseload,Energy,SA,1/01/2046,95,forecast
solar,Energy,NSW,1/01/2046,40,forecast
solar,Energy,VIC,1/01/2046,53,forecast
solar,Energy,QLD,1/01/2046,41,forecast
solar,Energy,SA,1/01/2046,46,forecast
solar,green,NSW,1/01/2046,-14,forecast
solar,green,VIC,1/01/2046,-23,forecast
solar,green,QLD,1/01/2046,-18,forecast
solar,green,SA,1/01/2046,-16,forecast
wind,Energy,NSW,1/01/2046,79,forecast
wind,Energy,VIC,1/01/2046,61,forecast
wind,Energy,QLD,1/01/2046,79,forecast
wind,Energy,SA,1/01/2046,65,forecast
wind,green,NSW,1/01/2046,-14,forecast
wind,green,VIC,1/01/2046,-15,forecast
wind,green,QLD,1/01/2046,-14,forecast
wind,green,SA,1/01/2046,-21,forecast
